title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
数据测试工程师（实习生）," 岗位职责： 确保爬取数据的质量，包括检查数据的时效性，规范性和完整性，出具测试报告。 任职要求： 1.    计算机相关专业大学本科及以上学历； 2.    学习分析能力强，踏实细心认真； 3.    了解Oracle, MySQL等主流数据库，有基本的SQL编写技能； 4.    良好的沟通理解能力，积极上进； 5.    熟悉Excel，有数据相关产品测试经验者优先。 ",中证信用,企业服务 咨询,"股份制企业
",500-2000人, ,深圳,https://www.shixiseng.com/intern/inn_ndr9i63qjyuj?pcm=pc_SearchList
数据挖掘实习生 (MJ000020), 1、通过数据分析、数据挖掘等方法，为平台各分区运营及产品优化提供量化的运营支持和有效建议； 2、研究用户行为和观看消费习惯，为产品优化和运营决策提供数据支持，如用户画像、用户行为轨迹研究及预测等； 3、沉淀分析思路和框架，提炼规划相关数据产品，并推动数据产品的落地及实施； 4、根据不同场景，设计指标体系和数据采集方案，及时监控发现异常，分析原因并提供建议和解决方案。 5、跟进模型的部署及效果反馈，进行迭代优化；对产出的分析报告建议和策略及时跟进，并推动落地。 任职要求: 本岗位为2021届实习岗位，实习2个月以上有留用机会。 1、统计学、数学或计算机等相关专业本科及以上学历； 2、熟悉相关挖掘算法，掌握主流数据分析方法； 3、熟悉SQL语句，熟练使用Excel，PPT等；掌握Python、R等相关分析软件优先； 4、具备严谨的逻辑思维能力，较强的动手实现能力，良好的沟通、团队协作能力； 5、对未知领域有强烈好奇心，乐于尝试新鲜事务，对数据敏感，喜欢从数据中发现规律，解决问题。 ,斗鱼,互联网 游戏 软件,"民营企业
",500-2000人, 餐费补贴 弹性工时 水果零食 五险一金 专业培训 晋升空间 发展平台 有大牛 多种专业培训 每年体检 ,武汉,https://www.shixiseng.com/intern/inn_g7gr2ccsgitt?pcm=pc_SearchList
数据分析产品经理实习生, 岗位职责: 1、负责一条业务线或多个业务模块的数据分析、数据产品、数据挖掘等工作，包括且不限于数据分析、产品规划、业务沟通、沉淀分析思路与框架，寻找数据驱动业务的最大价值点，形成数据产品解决方案； 2、融入对应业务团队闭环合作，根据对业务的理解，负责对应业务指标体系设计&优化、诊断分析、决策支持、数据化运营等； 3、独立完成价值判断、业务规划、prd以及推动项目落地拿到结果； 4、整体规划业务的数据分析产品，通过灵活可扩展的数据仪表、可视化的数据看板，用产品及数据能力支撑一线员工进行针对性的数据； 任职要求: 1、计算机、数学相关专业，985院校三年级学生优先，每天至少可投入2小时工作时间，完成导师指定工作&semi 2、具备良好的数据敏感度、业务视野、调研分析能力及深度思考能力，能够敏锐的捕获用户需求，提供相匹配的数据产品； 3、熟悉数据采集及集成、数据仓库、数据集市，对数据生产流程、数据资产管理以及数据库有深入理解； 4、有良好的沟通能力，善于合作、能够跨部门/团队跟合作团队达成一致目标拿到结果； 5、有批判性思维，接受不同意见帮助自己和团队共同成长；  6、熟练使用 Axure 等产品设计工具及S Q L 语言等数据分析工具。 7、为人自信、乐观向上、主动性强、积极性高、执行力高、富有团队精神与创新精神，较强的自我学习能力； 8、对互联网/电子商务H5、小程序、APP跨平台软件开发项目有浓厚兴趣； 关键字：MySQL、Java、Python、R 部门：产品研发中心 汇报对象：组长 团队用人风格： 为人自信、乐观向上、主动性强、积极性高、执行力高、富有团队精神与创新精神、较强的自我学习能力，吃苦耐劳 过往最好具备哪些项目经验： 互联网、电子商务、微信小程序、APP项目开发经验 ,滴滴优点,互联网 游戏 软件,"民营企业
",50-150人, 在校生 ,深圳,https://www.shixiseng.com/intern/inn_rwjpa63kwokg?pcm=pc_SearchList
数据可视化小能手, 数据可视化小能手 具体任务：挖掘和渔业有关的国内外数据，熟练运用excel、Tableau等工具分析数据、呈现数据，比如：《图说渔业》、《数说渔业》 获能技能：国际视野、故事力、创造力、协作能力、表达能力 除了获得以上进阶版的技能，你还将获得：   1、志愿者或者实习证明，表现优异者可留用或推荐给相关单位。 2、与国内外海洋及渔业各利益相关方打交道，接触真实而复杂的行业环境。 3、有机会加入一个灵活创新、温馨有爱、每个人都有机会发挥潜能的团队。 4、获得有多年国际NGO项目经验的主管直接指导，参与内部分享会，快速提升个人素养。 5、参加各种公益培训和活动，结识众多公益/环保领域领军人物，极大的地拓展你的人脉和视野。 6、智渔好看又实用的周边（例如：最酷的可持续渔业T恤、手提袋、明信片、抱枕、冰箱贴、台历、笔记本.......） ,智渔,企业服务 咨询,"中外合资企业
",15-50人, 知名企业 充足零食预算 职场社交平台 中西合璧 福利待遇好 团队好 ,全国,https://www.shixiseng.com/intern/inn_qssvjttnutfr?pcm=pc_SearchList
数据采集实习生, 职责描述： 1. 负责财务和非财务数据的收集、整理、校验、录入； 2. 根据数据规划的要求，对各类报告信息素材进行收集整理； 3. 对所收集的数据进行组内数据质量交叉检验； 任职要求： 1.本科学历，2021年应届毕业生，会计、金融等财经类相关专业； 2.实习期3-6个月，每周工作日5天；（必须项） 3.现阶段由于湖北地区疫情影响，改为线上面试，录用后安排线上培训，需自备电脑进行居家办公。待疫情结束后，返回公司现场办公，配备办公电脑。（公司地址：武汉市洪山区徐东大街191号金禾中心大厦19楼） 4.为人踏实、勤勉，具备团队合作精神，责任心强，有一定抗压能力。 ,中证信用,企业服务 咨询,"股份制企业
",500-2000人, ,深圳,https://www.shixiseng.com/intern/inn_zapffxtj5d69?pcm=pc_SearchList
数据分析实习生, 岗位职责： 1、 整理每日、周、月监控的数据：流量数据、营销数据、交易数据、产品管理客户管理； 2、 从日常数据中发现店铺运营问题，并能提出相应解决方案； 3、 收集行业及竞品动态，挖掘我品潜在的市场机会； 4、 协助处理电商产品月度需求量，发现需求偏差问题产生原因，并提出独到的见解，为公司开源节流； 任职要求： 1、具备较强的团队合作意识、 工作责任心强、良好的表达能力； 2、思路清晰，有一定的抗压能力； 3、富有创新精神，乐于接受挑战，热衷于分析、 研究各种商业行为； 4、熟练操作OFFICE软件，会excel 基本函数处理。 5、 经济学、电子商务、营销相关专业优先。 福利待遇： 1. 双休、节假日休息； 2. 实习生工资标准：2000-2500元/月； 3. 提供住宿； 4. 实习生入职即购买商业保险，可开具实习证明。 ,丝宝集团,互联网 游戏 软件,"股份制企业
",500-2000人, 活跃的氛围 生日节日福利 赚钱多成长快 靠谱团队 电子商务 月度生日会 团建培训 生日会下午茶 地铁站旁边 宿舍 ,武汉,https://www.shixiseng.com/intern/inn_owimhgr1soyu?pcm=pc_SearchList
英语用户数据整理人员, 岗位职责： 1、用户数据导出整理 2、其他安排的工作 岗位要求： 1、英语六级以上最好 2、对数据敏感 3、聪明灵活，愿意学习新知识 待遇：100一天，也可按小时结算 ,人人网,互联网 游戏 软件,"民营企业
",2000人以上, 可留用 奖励多样 福利待遇好 正式员工名额 优秀导师 团队出游 乐趣多多 管理规范 轻松自由 学到东西 ,武汉,https://www.shixiseng.com/intern/inn_4e39ymizhxed?pcm=pc_SearchList
软件开发人员, 1、 计算机及相关专业本科及研究生 2、 熟练掌握J2EE架构，Java和JSP编程，熟悉Struct+Spring+Hibernate 3、 熟悉数据库以及SQL语言 4、 有WEB开发实际运用经验优先 ,Teradata天睿信科,企业服务 咨询,"民营企业
",500-2000人, 法定医社保 双导制 晋升机会多 学习和晋升 发展迅速，空间大 ,北京,https://www.shixiseng.com/intern/inn_4qnu8stqlafa?pcm=pc_SearchList
数据维护实习生, 职位描述：  1、为“车来了”实时公交软件提供后台数据支持；  2、采集产品相关数据，按照既定标准对数据进行编辑加工；对某些特定的数据进行整理及统计；  3、将数据录入数据库，并根据业务动态进行持续的更新及维护；  4、对数据维护工作产生的相关文档进行规范的分类存储及管理；  任职资格：  1、大专及以上学历，理工科背景； 2、工作踏实勤奋，认真细致，理解力强； 3、良好的团队合作意识； 4、具有较强的逻辑思维能力； ,车来了,互联网 游戏 软件,"民营企业
",150-500人, 环境保护 活动多 气氛浓厚 水果咖啡 ,,https://www.shixiseng.com/intern/inn_alsitdscrumf?pcm=pc_SearchList
数据抓取及处理实习生," 全球三大联合国国际组织官方青年发展项目之一—— 联合国青年人才培养计划（UNYTP）中国区组委会-数据抓取及处理 岗位方向： 技术——数据抓取及处理  岗位描述： 1. 参与新建国际游学平台的全球内容接入，通过算法智能解析各语种页面结构，自适应提取页面关键信息负责商业化相关的数据抓取和清洗工作； 2. 推进抓取架构的完善，不断提升系统的准确性、实时性； 3. 监控客户舆情及竞品投放情况。 岗位要求： 1.  大学本科三年级（含三年级，须同时满21周岁）以上在校学生，研究生优先； 2. 有扎实的算法和数据结构能力，强悍的编码能力； 3. 熟悉爬虫基本原理，熟悉常见的反爬虫技术，有爬虫相关项目开发经验者优先； 4. 熟悉http协议，熟悉html、xpath等常见的数据抽取技术。 5.熟悉Linux环境，熟悉至少一门高级语言：Python/C++/Java 实习待遇及收获： 1.非凡经历——有机会作为组委会领队助理亲临纽约/日内瓦联合国总部，收获一段“非卖品”的人生经历； 2.公益背景——亲身推进“联合国可持续发展目标”与“全球公民计划”在中国的落地，助力中国青年登上世界最高舞台发声，关心下一代的发展，为我国战略储备外交人才贡献力量； 3.国际视野——按照联合国相关标准进行工作，收获国际视野，提升工作能力与调性； 4.名校人脉——遇见来自全国著名高校的小伙伴，在友好和谐的团队氛围中建立高质量的友谊； 5.工资待遇——180-300元/日，赴外工作期间按照境外工资标准发放（境内1.5倍）。组委会承担北京-瑞士/美国往返机票、联合国培训项目学费、项目期间酒店住宿、餐饮、交通、国际保险等费用； 6.满足工作要求即有机会获得联合国高级别官员推荐信； 7.满足工作要求可开具《实习证明》。 关于UNYTP项目 “YOUTH TRAINING PROGRAM AT THE UN（UNYTP）”（联合国：青年人才培养计划）是World Federation of United Nations Associations（WFUNA，联合国协会世界联合会，简称世联会）项下的官方青年发展项目，是全球三大联合国国际组织官方青年发展项目之一。旨在100余个成员国中培养、选拔优秀的青年学员代表，分批赴美国纽约或瑞士日内瓦两处联合国总部，进行高强度浸入式训练，并为全球可持续发展目标贡献中国青年的智慧，现有中国、韩国、丹麦、希腊、巴西等10余个国家选拔代表队参加，全球共计已举办超过40期。 UNYTP中国官方称谓为UNYTP：CHINA，已开展11期，中国代表队已走进包含联合国开发计划署、联合国儿童基金会、联合国教科文组织、联合国难民署、国际红十字会、世界贸易组织，以及世界银行与国际货币基金组织等超过20个国际组织，并受到中国、美国、巴西、瑞士、伊朗等10余个国家常驻联合国代表团接见。 关于UNYTP项目中国组委会 2017年起，WFUNA与北京思银国际咨询有限公司（Thinkbank,BTIC）达成全球战略合作伙伴关系，共同组成UNYTP项目在华组委会，进行UNYTP项目在中国的选拔与运营工作。项目目前已在中国成功运营11期，受到来自学员、家长、合作伙伴、媒体朋友的广泛好评。 现诚挚的邀请对全球公益、教育事业、学生工作富有热情的你加入我们 共同推动联合国可持续发展目标与全球公民计划 为世界做出你的贡献！ 联合国青年人才培养计划（中国）组委会 二〇二〇年一月 ",UNYTP联合国青年人才培养计划,教育 培训,"民营企业
",少于15人, 赴联合国纽约、日内瓦总部机会 国际公务员职场体验 拓宽国际视野、收获国际人脉 国际标准薪资 各学校精英云集 创业氛围，充分授权，发挥个人能力 温暖有爱的集体 ,北京,https://www.shixiseng.com/intern/inn_jfra6ljkzzwd?pcm=pc_SearchList
