title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
视觉技术部_OCR算法实习生, 工作职责：   - 研究计算机视觉/图像/NLP相关算法，前沿工作的跟进与快速复现   - 研究视觉与语义的结合点，包括但不限于多模态特征的提取和融合、关系推理、GNN等   - OCR相关产品的研发和跟进 工作要求：  - 有浓厚的研究兴趣，敢于尝试新方法  - 有OCR/NLP/GNN/relation reasoning等相关经验的优先   - 有表过论文经验的优先  - 熟练掌握C/C++、Python等编程语言；熟悉OpenCV，以及常用图像处理方法  - 熟悉深度学习基础知识和经典网络模型，熟练至少一种深度学习工具，例如PaddlePaddle、TensorFlow，PyTorch等  - 计算机、应用数学、模式识别、人工智能等专业的本科以上 ,百度,互联网 游戏 软件,"民营企业
",2000人以上, 年轻团队 有态度 ,北京,https://www.shixiseng.com/intern/inn_d2rhkq0j6xpb?pcm=pc_SearchList
Camera研发实习生-ISP算法, 岗位职责： 1.负责车载CMOS选型，图像质量调优，图像质量评估； 2.负责ISP算法开发及调试； 3.负责ISP调试软件开发。 岗位要求： 1.熟练掌握评估图像质量的相关参数含义，影响，以及测试过程； 2.可熟练使用c/c++、matlab、python等编程语言进行ISP的开发。 3.可实习三个月以上，每周保证实习4天。 优先项 1.有ISP开发经验，熟悉ISP流水线，至少需要掌握AE，AWB，Tonemapping算法流程； 2.有ISP tuning经验，平台不限（海思，高通，MTK等）； ,图森未来,互联网 游戏 软件,"民营企业
",500-2000人, 免费三餐 实习生管住宿 自有健身房 周末双休 技术大咖 工程师文化 ,北京市/北京,https://www.shixiseng.com/intern/inn_ynd19egtmvxr?pcm=pc_SearchList
智能驾驶算法工程师, 岗位职责： 1、负责自动驾驶系统算法的设计和研发 2、负责相应文档、专利以及软件著作权的撰写 任职要求： 1、硕士及以上学历 2、熟练掌握c/c++/python其中一种开发语言 3、有自动驾驶/无人机/机器人的相关项目经验 4、有ACM、NOI竞赛相关证书优先 5、熟悉linux平台 ,主线科技,互联网 游戏 软件,"民营企业
",50-150人, 自动驾驶 人工智能 上班不打卡 薪资福利好 公司氛围特别和谐 实习生一对一培养 正式员工七险一金 工作餐免费 前景发展好 ,北京,https://www.shixiseng.com/intern/inn_ytgqxag8zttf?pcm=pc_SearchList
安全算法实习生（密码学）, 岗位职责： 1、针对业务需求，参与公司区块链及隐私保护相关算法的实现； 2、不断完善和优化现有算法，适用于公司产品特定场景； 3、将业内先进算法应用到业务场景中，提高团队整体技术攻关能力以及业内技术影响力。 任职要求： 1、数学、计算机、信息安全、通信等相关专业本科以上学历； 2、具有密码学、安全多方计算、隐私安全背景者优先； 3、具备较好的英文阅读能力； 4、掌握C/C++编程语言，熟悉Linux操作系统； 5、具有优秀的语言表达能力、沟通能力。 ,矩阵元,互联网 游戏 软件,"民营企业
",50-150人, 区块链 隐私安全 人工智能 ,广东/深圳,https://www.shixiseng.com/intern/inn_oh2outq25dbm?pcm=pc_SearchList
今日头条推荐算法实习生-2020春招, 1、利用机器学习技术，改进头条的推荐系统，优化数亿用户的阅读体验； 2、分析基础数据，挖掘用户兴趣、文章价值，增强推荐、广告系统的预测能力； 3、分析用户商业意图，挖掘流量潜在商业价值，提升流量变现； 4、研究计算机视觉算法，给用户提供更多更酷炫的功能； 5、研发机器翻译与对话技术，促进跨语言内容理解与交流。 职位要求： 1、本科及以上学历，计算机、机器学习和模式识别相关专业； 2、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣； 3、具备强悍的编码能力，熟悉 linux 开发环境，熟悉 C++ 和 Python 语言优先； 4、有扎实的数据结构和算法功底，熟悉机器学习、自然语言处理、数据挖掘、分布式计算、计算机视觉、计算机图形、语音识别与合成中一项或多项； 5、对推荐系统、计算广告、搜索引擎、对话问答、图像和视频分析处理相关技术有经验者优先； 6、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。 ,字节跳动,互联网 游戏 软件,"民营企业
",2000人以上, 亿级日活平台 今日头条 抖音 年轻、扁平、透明 免费三餐健身房 租房补贴 ,北京,https://www.shixiseng.com/intern/inn_7plmatprti8j?pcm=pc_SearchList
【暑期实习生】语音算法实习生, 岗位职责： 1、 负责语音识别相关算法的研究与开发，包括语音前端处理、声学模型训练、语言模型训练； 2、 负责声音信号增强和语音矫正； 3、 研究国内外最新语音识别相关的先进技术。 岗位要求： 1、 熟悉语音识别/语音合成/语音信号处理相关算法及原理，了解国内外语音识别技术的发展状况； 2、 能熟练阅读语音技术相关领域的英文技术文档和专业文献，并进行工程实现和优化； 3、 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情； 4、 沟通能力强，有团队合作意识； 5、 面向2021届及之后毕业的学生，211/985相关专业硕士、博士优先。 ,陌陌科技,互联网 游戏 软件,"民营企业
",500-2000人, ,北京,https://www.shixiseng.com/intern/inn_fpclxwfesciv?pcm=pc_SearchList
算法语料标记实习生, 职位描述： 1.     对AI语音平台的数据集进行预处理 2.     根据语料标注规则，对线上的真实语料进行分析和标注 3.     第三方语料数据收集 4.     参与AI语音平台数据处理的其他事项 职位要求： 1.     英语相关专业的在校本科生或硕士生，英语CET4级以上水平，听说水平良好 2.     至少连续3个月的实习时间，每周都能工作3个工作日以上 3.     善于学习和总结，对人工智能领域有一定的了解 收获： 1.     了解人工智能在英语教育领域的应用 2.     了解头部互联网在线教育公司的教学内容 ,VIPKID,互联网 游戏 软件,"民营企业
",2000人以上, 互联网+教育 纯北美外教 国际化、高速发展 平台高、机会多、锻炼能力 精英多多 英语 激情 工资+餐补 五险一金 带薪休假 ,北京,https://www.shixiseng.com/intern/inn_zbtekejque3a?pcm=pc_SearchList
数据标注实习生, 岗位职责： 主要与算法工程师合作，负责基础算法业务／推荐数据标注的任务 岗位要求： 1、对文字信息敏感，对新闻有一定的了解，新闻、计算机、法律专业大三同学优先 2、认真踏实，能够对交付的任务按期保质完成 3.、有良好的沟通和协调能力，愿意与人主动沟通，具备团队协作精神 4、有较强的学习和逻辑分析能力，善于提出产品整体解决方案 5、熟练使用word、excel、ppt等办公软件 你将获得： 1、鹅厂高含金量的实习证明及各位技术大大亲自指导的宝贵经验 2、免费早晚餐 ,腾讯PCG,互联网 游戏 软件,"民营企业
",2000人以上, 全面的薪酬福利 职位发展双通道 最佳雇主 ,北京,https://www.shixiseng.com/intern/inn_ue7vvc3itcdv?pcm=pc_SearchList
算法实习生, 1. 广告关键词的文本预处理、主要方向为词向量，包括统计模型与语义模型 2. 针对广告业务需要，运用机器学习模型，解决实际问题 3. 研究NLP方向最新技术与应用   任职要求 1. 数学、统计，计算机等相关专业，硕士及以上学历，985、211高校本科以上 2. 对机器学习算法有比较全面的认识和理解，熟悉并熟练应用常用机器学习算法 3. 熟练掌握Python，熟悉深度学习或NLP相关技术优先 4. 一周可以三天以上到岗 西窗科技是一家脱胎于微软中国的新兴科技公司，专注于为中国用户出海创造更有效的广告账户优化服务。 广告优化研发组，由Microsoft工程院富有经验的工程开发师，国内外高校毕业的博士生带队，致力于用先进的机器学习算法提高现有平台的效率。 作为团队的一员，你将有机会参与到平台优化算法的开发过程中，获得广告产业的深入理解，接触到海量的真实数据，可以巩固提高现有知识，还可以研究前沿课题。 公司为外企氛围，轻松愉快，鼓励创新，重视研究核心技术。   ,西窗科技,互联网 游戏 软件,"民营企业
",150-500人, 咖啡不限量 内容丰富 零食饮品 扁平管理 福利待遇优 健身设备 每月生日会 弹性工作制 实习证明 中外节日活动 ,北京,https://www.shixiseng.com/intern/inn_pwy4pvjdm2mr?pcm=pc_SearchList
校招-图像算法工程师," 1、计算机，模式识别，自动化相关专业，硕士及以上； 2、精通c++,python,java至少一种编程语言； 3、了解常用的深度学习开源软（如 tensorflow, caffe，mxnet等），有深度学习的研究和实践经验者优先； 4、熟悉图像处理常用库如opencv等； 5、在知名国际期刊/会议上发表过文章或在大赛中获得奖项优先； ",映客直播,互联网 游戏 软件,"民营企业
",500-2000人, 各种活动 水果零食 晋升空间好 繁华商区办公 发展 开脑洞 融洽团队氛围 工作轻松自由 有竞争力的薪酬福利体系 技术氛围好 ,北京,https://www.shixiseng.com/intern/inn_a1qtr2uu6p3h?pcm=pc_SearchList
