title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
iOS开发工程师, 工作职责：1、参与iOS应用的日常开发与维护； 2、与其他团队成员配合保障业务需求顺利上线； 3、 遵守团队规范，参与团队文档建设； 4、学习新技术以满足团队和业务发展的需要。 任职资格：1、计算机相关专业优先，具备有一定的逻辑思维，热爱互联网工作； 2、具备一定的Objective-C或C/C++语言基础，熟悉常用数据结构与算法； 3、对iOS开发有兴趣；喜欢从事iOS开发工作； 4、学习能力强，工作热情高，富有责任感，团队意识强。 2、与其他团队成员配合保障业务需求顺利上线； 3、 遵守团队规范，参与团队文档建设； 4、学习新技术以满足团队和业务发展的需要。 ,斗鱼,互联网 游戏 软件,"民营企业
",500-2000人, 餐费补贴 弹性工时 水果零食 五险一金 专业培训 晋升空间 发展平台 有大牛 多种专业培训 每年体检 ,武汉,https://www.shixiseng.com/intern/inn_dwpgog87ipab?pcm=pc_SearchList
测试实习生 (MJ000030), 职位描述: 1、负责产品的测试工作，保障产品质量； 2、通过自动化手段提升测试深度和广度，拓宽人工测试边界。 任职要求: 本岗位为2021届实习岗位，实习2个月以上有留用机会。 1、本科及以上学历，计算机相关专业； 2、具有良好的系统化思维，良好的问题分析、排查与解决能力； 3、优秀的沟通和协调能力，具有很好的客户服务意识； 4、熟悉python、java、Linux等技术者优先。 5、熟悉接口自动化、UI自动化者优先。 ,斗鱼,互联网 游戏 软件,"民营企业
",500-2000人, 餐费补贴 弹性工时 水果零食 五险一金 专业培训 晋升空间 发展平台 有大牛 多种专业培训 每年体检 ,武汉,https://www.shixiseng.com/intern/inn_sejloccqoiw1?pcm=pc_SearchList
客户端安全实习生 (MJ000029)," 职位描述: 1、负责插件等工具分析，产出分析报告； 2、在指导下完成算法模块开发； 3、独自完成数据整理、收集和分析，完成相应工具编写； 4、参与APP安全技术研究，协助开发人员修复安全问题。 任职要求: 本岗位为2021届实习岗位，实习2个月以上有留用机会。 1、熟悉Web、Android 、iOS中某一平台静态分析和动态调试技术； 2、掌握C/C++,JS，汇编等编程语言，熟悉常用数据结构与算法； 3、熟练使用ida等反编译工具； 4、较强的文献查阅能力，较强的英文阅读能力，有安全比赛获奖经历者优先。 ",斗鱼,互联网 游戏 软件,"民营企业
",500-2000人, 餐费补贴 弹性工时 水果零食 五险一金 专业培训 晋升空间 发展平台 有大牛 多种专业培训 每年体检 ,武汉,https://www.shixiseng.com/intern/inn_4ohrspfwsswy?pcm=pc_SearchList
数学主讲老师（留学类课程）, 一、集团背景 好未来（NYSE：TAL），英文缩写：TAL（Tomorrow Advancing Life），是一个以智慧教育和开放平台为主体，以素质教育和课外辅导为载体，在全球范围内服务公办教育，助力民办教育，探索未来教育新模式的科技教育公司。 二、了解考满分       考满分是专注于出国考试在线科学备考的留学生口碑品牌。累积学员备考记录超过数十亿条，是出国留学考试领域新锐培训品牌。       满分征途，未来可期，我们在考满分等你，期待与你共创每一个人的好未来！      任职要求：    1、本科及以上学历、数学、统计学相关专业，数学成绩较好；    2、热爱教育行业，逻辑严谨，善于活跃课堂气氛；    3、有家教、培训机构代课经验者优先；    4、英语能力较好。    工作职责：    1、为学员提供专业的高质量教学服务；    2、与学员保持良好沟通，阶段性反馈学习情况；    3、负责学员的即时答疑与互动工作，增强学习黏性；    4、参与教研工作，提供新思路新方法。      三、福利待遇     1、多元化职业发展通道，专业路径+管理路径     2、1v1专业定制化培训，广阔平台+行业大咖+年轻化团队     3、行业高薪，海量福利等你来    六险一金、餐补、每年两次涨薪，上不封顶、法定节假日、带薪年假、节日礼物、年度体检、弹性工作、瑜伽舞蹈…让你一边工  作     一边变美    4、员工关怀：婚育礼金，报班优惠    5、在线教育，互联网公司，教师岗可在家办公，上班时间灵活    6、海量学习资源，提供定期出国深造的机会，提升个人综合竞争力    7、高大上街景房、落地窗、地铁口…吃喝玩乐全配齐    8、加班车费报销，助你安全回家；    9、…   四、应聘流程：   1、网申：进入网申入口，选择岗位进行投递；   2、笔试：简历筛选通过后，HR将会联系您参加在线笔试；   3、线上面试：笔试通过后，HR将会联系您参加线上面试；   4、Offer发放：通过面试后，您将收到offer，HR会根据您个人情况沟通入职时间   5、线上入职：根据疫情情况，采用线上入职办理，参加线上培训，线上办公 此刻的我们正在期待遇见更好的你 未来征途，我们一起远行! ,考满分,互联网 游戏 软件,"股份制企业
",150-500人, 90后为主 快速成长空间 五险一金 补充医疗保险 员工旅游 餐补 ,湖北/武汉,https://www.shixiseng.com/intern/inn_mcmzjo0vrwlk?pcm=pc_SearchList
软件开发工程师, 岗位职责： 1、参与公司产品的设计与开发工作； 2、根据产品需求完成架构和模块设计、编码、测试工作； 3、能按照项目计划，按时提交高质量的代码，完成开发任务； 4、将理论和想法应用于产品研发设计过程中。 岗位要求： 1、本科以上学历，电子通信、网络工程、计算机及相关专业优先考虑； 2、编程时你的兴趣而不是糊口的工具； 3、具有开发个人项目的实践经验； 4、具有阅读英文资料的能力。 ,武汉噢易云,互联网 游戏 软件,"民营企业
",150-500人, 卓越品牌 靠谱 锻炼多 挑战性 节假日 “野蛮生长” ,湖北/武汉,https://www.shixiseng.com/intern/inn_ldzixbolj6wr?pcm=pc_SearchList
运营实习生," 全国范围内，地点不限！ 岗位职责  1.对外合作，利用公司资源对外交换资源，拉礼品赞助。  2.执行力强，对用户兑换率数据负责  3.利用多种方法，提升用户持续使用的转化率  4.整理和收集用户对产品建议，并且反馈产品  任职要求：  1.有互联网运营经验,有教育行业教育经验优先。  2.擅长与他人沟通，能接受较强工作强度。  可接受实习生，每周最少5个工作日；最少实习三个月。  工资按天算，80-120元/天。 ",知识圈,互联网 游戏 软件,"民营企业
",15-50人, 人性化 优秀的团队 100元/天 ,广州,https://www.shixiseng.com/intern/inn_ikz5gwzb1knm?pcm=pc_SearchList
财务专员实习生, 岗位职责： 1. 小米售后劳务费结算票据、单据整理； 2. 成本费用核算，和相关费用指标的监控和分析； 3. 根据业务需求，策划并推动执行结算项目，并跟进项目执行进展并输出报告； 4. 其他常规业务支撑。 任职要求： 1. 本科及以上学历，2021届毕业生，会计学、财务管理专业优先； 2. 有良好的数据分析能力，沟通能力，善于展示和表达自己； 3. 熟练操作office等常用办公软件； 4. 每周至少出勤3天，能实习3个月以上的优先。   ,小米,互联网 游戏 软件,"民营企业
",2000人以上, 上升通道 职位晋升 高人气创始人 快速成长 平台大发展稳健 成长机会多 ,北京市/北京,https://www.shixiseng.com/intern/inn_je7x1unfl5mu?pcm=pc_SearchList
【京东新通路】测试开发工程师实习生（武汉）, 1-2020年10月1日至2021年9月30日期间毕业 2-制定测试计划，编写测试用例，部署测试环境，执行测试，定位及分析BUG并根据BUG生命周期； 3-自动化回归测试脚本的编写 4-提升测试效率的工具的开发 5-计算机基础扎实，良好的编程技术 6-善于沟通，积极主动，对技术有热情 ,京东,交通 贸易 物流,"民营企业
",2000人以上, 年轻、活力 思想碰撞 广阔的职业发展平台 发展空间巨大 双休&amp;amp;amp;amp;amp;;五险 待遇优厚 良好的工作环境 ,武汉,https://www.shixiseng.com/intern/inn_abntxfbewd9z?pcm=pc_SearchList
嵌入式软件工程师-2020," 负责MediaTek自主SoC的Linux内核 & Android系统层级的问题分析与解决, 性能优化 任职要求： 1. 2020年硕士应届毕业生 2. 掌握基本软件开发流程，熟练掌握C/C++/Java 等编程语言 3. 熟悉Linux / Android 开发环境 4.具备良好程序编写与阅读能力，善于总结和撰写技术文档 5. 工作认真细致，责任心强，具备良好的沟通协调与团队合作能力 6. 英语CET6，具有阅读及撰写英语技术资料的能力 ",联发科技MediaTek,电子 通信 硬件,"民营企业
",2000人以上, 技术精尖 ,武汉,https://www.shixiseng.com/intern/inn_jqqsnu3xf0co?pcm=pc_SearchList
Android开发工程师," 工作职责：1、基于Android平台进行移动端应用程序独立开发设计、实现、以及功能维护； 2、参与App模块的系统分析，架构设计；负责模块编码和单元测试， 并编写相关技术文档； 3、负责客户端产品的优化、升级工作； 4、学习新技术以满足产品的需求，并根据开发过程中的体验对产品提出改进建议。 任职资格：1、计算机相关专业优先，具备有一定的逻辑思维,热爱互联网工作； 2、具备一定的java/c语言基础，熟悉数据结构，常用算法； 3、对Android开发有兴趣；喜欢从事Android开发工作； 4、学习能力强，工作热情高，富有责任感，能在高级工程师的指导下完成工作内容。 ",斗鱼,互联网 游戏 软件,"民营企业
",500-2000人, 餐费补贴 弹性工时 水果零食 五险一金 专业培训 晋升空间 发展平台 有大牛 多种专业培训 每年体检 ,武汉,https://www.shixiseng.com/intern/inn_r2ehnuntbvaq?pcm=pc_SearchList
