title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
Python, 岗位需求：?? 1. 根据实际需求编写爬虫，设计爬虫策略和防屏蔽规则，提升app和网页抓取的效率和质量；?? 2. 负责数据爬虫的设计与开发（如抓取调度，多样化抓取，页面解析和结构化抽取，数据存储和读取等）；?? 3. 设计和优化爬虫策略，提升爬虫抓取效率与稳定性；?? 4. 汇总整理爬取后的数据并进行定向分析；?? 5. 对美和潮流有较好认知、对数据分析感兴趣者优先?? 任职条件?? 1.熟悉Python编程语言，熟悉scrapy，pyspider等爬虫框架。?? 2.有mysql，mongo等数据库开发经验。?? 3.熟练使用excel，有较好分析报告撰写能力。?? 4.每周出勤不少于4天，能实习6个月以上者优先。 ,咚漫,广告 传媒 公关 展览,"民营企业
",50-150人, 公司发展前景 企业背景好 产品人气爆棚 跨国企业 公司福利好 待遇不错 氛围棒 超搞笑 ,北京,https://www.shixiseng.com/intern/inn_ats6kgd1dxjz?pcm=pc_SearchList
UI开发工程师-端游u3d, 【驻场网易】UI开发工程师-端游u3d 职位描述： 岗位职责： 1. 负责端游游戏客户端中UI、逻辑方面的开发工作； 职位要求： 任职要求： 1. 本科以上学历，计算机相关专业； 2. 良好的职业道德，工作积极上进，沟通顺畅； 3. 有较好的开发能力，代码编写规范、完备、有条理； 4. 熟悉unity和cocos引擎，有Python或UI相关开发经验优先； ,中软国际,互联网 游戏 软件,"外资企业
",2000人以上, 可健身可娱乐 各路大神 引发成长动力 90后居多 氛围好 成长快 收入高 ,广州,https://www.shixiseng.com/intern/inn_btfue9etlxtx?pcm=pc_SearchList
Python工程师实习生, 工作内容： 1、负责数据处理脚本的撰写和调试，对数据处理结果负责； 2、负责效率工具的后台开发工作，具体包括各种需求分析、文档撰写、设计编码、测试运维、效果追踪等工作； 3、负责高质量的设计和编码，承担重点、难点的技术攻坚； 专业知识： 1、有过Python开发经验，本科及以上学历； 2、精通Mysql/MongoDB/Redis等的性能调优； 3、有良好的学习能力，擅于钻研某方面技术； 4、细致认真，善于沟通，能和团队融洽相处。 5.、对AI有相关经验者优先 ,00DATA,互联网 游戏 软件,"民营企业
",15-50人, 领导好 互联网公司，发展前景好 活跃的氛围 成长机会大 绩效奖金 富有挑战 住宿补贴 ,北京,https://www.shixiseng.com/intern/inn_libyvtpyo7ux?pcm=pc_SearchList
量化研究实习生, 公司介绍 棱镜资产管理有限公司具有五年以上高频交易经验，前期涉及股指高频，目前主要侧重于股票高频、量化私募证券、期货及期权衍生品等。管理自有资金4亿元人民币（暂不对外募集）。2019-2020年，于财通证券“私募之星”大赛入围量化对冲TOP3、东航金融“蓝海密剑”大赛入围混合策略TOP5，被私募排排网提名“最具潜力私募”。 岗位职责 协助进行股票高频量化策略的研发、测试、优化及风险管理等。 任职要求 知名高校，博士，或特别优秀的硕士，金融数学、数学专业，可实习转正式优先。 较强的编程能力，有一定的量化策略开发经验，对机器学习有一定基础者优先。 2年以上python经验，有数据库处理经验，熟悉JoinQuant，RiceQuant等回测平台者优先考虑。 薪资待遇 实习生薪资300-500一天，有转正机会，表现优秀者有公司核心策略认购机会。 ,棱镜资产,金融 经济 投资 财会,"民营企业
",50-150人, 技能培训 全是年轻人 福利佳 技术大牛多 ,上海,https://www.shixiseng.com/intern/inn_du7b85yprpha?pcm=pc_SearchList
爬虫工程师, 岗位职责: 1、负责大规模分布式网络数据抓取&semi . 2、对抓取数据进行除重，匹配，过滤等处理&semi 3、网络爬虫架构设计、功能开发及优化&semi设计爬虫策略和防屏蔽规则，解决封账号、封IP、 验证码等难点 4、网页信息抽取等核心算法的研究和优化&semi 5、对爬取的数据进行分析，用分析的结论优化和开拓爬取项目 ,宇络科技,互联网 游戏 软件,"民营企业
",少于15人, 团队有活力 成长机会大 餐饮补助 团队融洽有爱 行业发展优势 项目超赞 靠谱创业团队 优秀可转正 ,上海,https://www.shixiseng.com/intern/inn_obuckizntxcb?pcm=pc_SearchList
软件开发实习生, 岗位职责 1、负责公司自研产品应用软件的分析、设计、编码。 2、负责项目实施以及客户沟通。 3、负责软件产品文档编写、整理工作。 ?? 岗位要求: 1、熟悉JAVA开发语言，HTML、CSS、XML等技术。 2、熟悉JSP、Servlet、 JavaScript、jQuery、SSH框架的开发。 3、有Python或爬虫相关技能。 4、熟练MyEclipse、Tomcat、plsql的使用。 5、全日制普通高校通信、电子、计算机相关专业，本科及以上学历。 6、良好的英文读写能力；一定的分析解决问题能力，快速学习能力，良好的沟通、团队合作能力，能承受一定的工作压力。 你将获得： 1、专业技能 2、团队协作力的打造 3、如何运用OKR等先进的目标管理工具实现自己的工作、学习目标 ,国信杰云,互联网 游戏 软件,"民营企业
",15-50人, 补充保险 丰富活动 ,江苏/南京,https://www.shixiseng.com/intern/inn_n5lyoi8fh5c6?pcm=pc_SearchList
Python实习生, 工作内容： 1. 负责项目中对于产品的开发配置与实施 2. 负责数据处理，结果比对 任职要求： 1. 计算机、软件工程相关专业本科在校生 2.能保证每周出勤至少4天以上，连续实习3个月以上 3. 掌握至少1门程序语言，具有Python编程经验优先 4. 掌握基本Excel处理技能 你将获得： 办公室零食茶点无限量；大牛指导；表现优秀有转正机会； ,云势软件,互联网 游戏 软件,"中外合资企业
",150-500人, 接收应届生 专业指导 工作稳定 五天制 创造性 自由公平 免费培训 年轻 实习留任 CBD办公 ,全国,https://www.shixiseng.com/intern/inn_ontzhvrywalz?pcm=pc_SearchList
Python开发实习生, 岗位工作职责： 1.参与数据采集、监控系统的设计、开发和维护工作； 2.参与设计采集策略，改进调度算法，减少系统延迟，提升整体采集效率； 3.参与建立完整的数据获取、解析、入库和监控流程，优化系统瓶颈不断迭代完善； 4.参与数据清洗、优化等相关工作。 任职要求： 1.本科及以上学历，计算机或者相关专业本科及以上优先，欢迎应届毕业生； 2.熟悉Python语言，有参与完成过实际的项目更佳； 3.会写基础的增删改查SQL； 4.能看懂html、css、js等前端代码； 5.自我学习驱动力强、有自己的思维、自我约束、注重团队协作等。 ps：如果你拥有以下能力，我们好好谈！有分布式采集开发经验者；有数据分析、挖掘，搭建数据仓库经验者；有自然语言处理、机器学习经验者。 薪资待遇： 1.合理优厚的薪金：月薪（3000元-5000元/月）+年终奖+优秀员工激励奖金等； 2.完善的假期组合：15天带薪年假、带薪病假及法定假期； 3.齐全的福利体系：养老保险、医疗保险、生育保险、 工伤保险、失业保险及住房公积金； 4.多元化培训课程：带薪岗前培训，在职个人提升计划； 5.良好晋升机会：工作满一年者，即有机会内部转职（横向发展）、纵向提升；优秀员工也可申请提前转职； 6.丰富多彩的员工活动：员工聚餐、节日晚会、旅游活动、野营聚餐、户外拓展、优秀员工表彰活动等； 7、舒适的工作环境：高级写字楼上班，开放的工作氛围。 工作时间： 周末双休，法定节假日休息。 一位伟人认为：“好的团队氛围等于成功的一半。”在“数立方”这个团队中，都是一群充满了正能量的年轻有趣的小伙伴和非常nice的老板， 在这里，我们有我们有人性化的管理方式，开放的工作氛围，广阔的成长空间，在这里，我们希望每一位员工能快乐地工作。 ,数立方,互联网 游戏 软件,"民营企业
",50-150人, 互联网金融  定期团建 高级写字楼 周末双休 五险一金 就业有未来 ,浙江/杭州,https://www.shixiseng.com/intern/inn_abryaeq7lr3w?pcm=pc_SearchList
数据分析实习生, 工作职责 1、负责整机性能测试数据的分析，能从机，电，控综合角度提高算法优化； 2、负责建立机械部件运行健康状态分析，制定评价指标和模板化分析方法； 3、负责对现场运行故障和失效问题做RCA，能都具有预测模型的建立； 4、协助完成文档编制； 任职要求 1、自动化、机电、计算机、信息技术等相关专业； 2、有问题分析能力，责任心强； 3、积极向上、热爱技术、思想端正； 4、能长期稳定实习优先，每周至少出勤3天； 5、有python开发优先考虑。 ,NIO蔚来,汽车 机械 制造,"民营企业
",2000人以上, 团队体验 有憧憬 有发展 用户企业 成长快速 工作氛围优良 免费班车 ,全国,https://www.shixiseng.com/intern/inn_evnqvgufl4wl?pcm=pc_SearchList
数据分析实习生, 部门职能：通过对产业数据的分析和应用，为公司业务及风控提供数据支撑 工作职责： 1.协助数据采集、整理等，支持业务和风控的数据项目； 2.寻找和筛选新数据，丰富企业数据源；?? 3.实习期结束表现良好可转正。 任职要求： 1. 计算机科学、数据科学、统计学、应用数学、数据营销等数据相关在读本科或研究生； ?? 2. 对数据分析有强烈的热情，有较强的学习能力和理解能力，愿意往数据相关岗位长期发展；?? 3. 有数据相关实习经验者优先&semi?? 4.需要至少可以实习3个月者，每周工作5天，时间不能满足请勿投递，感谢；?? 5.实习期补贴为3000每月。 ,盛业资本,金融 经济 投资 财会,"外资企业
",150-500人, 这里有梦想 行业领导者 团队有活力 薪资福利好 专人带领 五险一金双休 环境高大上 员工团建&amp;amp;节假日福利 环境高大上 ,广东/深圳,https://www.shixiseng.com/intern/inn_csoxmkj7hfeu?pcm=pc_SearchList
Python开发测试实习, 学历：本科及以上 城市：北京 招聘人数：1 有效时间：3个月 1.???????? 编写并执行测试用例，准确跟踪模块的缺陷或问题。 2.???????? 熟练运用测试方法及工具对模块及接口性能进行测试，准确发现性能短板。 3.???????? 支持项目python方面的相关开发工作。 任职资格 1、科及以上，计算机、软件工程等相关专业优先 2、熟练掌握python编程。熟悉python相关web框架，如Django，Flask等。 3、熟练使用python 性能测试工具与http接口测试工具，如line,,,,,,,
 profiler，apache bench等。 4、熟悉Linux系统操作，可独立完成小型python项目的开发。 5、加分项：具有python项目开发经验，或具有python自动化测试经验者优先。 请注意：仅为实习岗位，暂无转正机会，20届毕业生慎重投递。允许14天隔离线上办公，不接受全程线上办公。 ,蓝色光标,广告 传媒 公关 展览,"股份制企业
",2000人以上, 大平台 团队融洽 有食堂、班车 行业领导者 ,北京,https://www.shixiseng.com/intern/inn_97bn3mkgovlr?pcm=pc_SearchList,
后台实习生, 工作职责： 1.AI后端服务开发（使用语言python） 2.后端服务部署与维护； 3.其他任务 岗位要求： 1.熟悉linux命令操作，熟悉python语言（了解docker，k8s更佳）； 2.计算机相关专业，对后端开发感兴趣； 3.工作细心，积极主动，能自主思考并灵活解决问题； 4.学习能力强，有责任心； 5.能至少实习3个月，保证一周至少实习4天；尽快入职 6.有后端开发实习经验者优先。 实习薪资： 3000底薪，外加补贴（本科生1200，研究生2250） 工作地点：深圳市福田区益田路5033号平安金融中心，平安集团总部 ,中国平安,金融 经济 投资 财会,"股份制企业
",2000人以上, 办公气氛自由 大牛集聚 实习生 世界一百强 有钱任性 平台起点高 职场高大上 员工Nice 有吃喝有梦想 ,深圳,https://www.shixiseng.com/intern/inn_cgkowx7jstwl?pcm=pc_SearchList
开发部-后台组初级工程师, 岗位职责： 1、负责互联网后端应用服务的设计与开发，数据库设计(包括索引优化)、服务性能调优 2、负责高性能互联网应用接口设计与开发(如相关HTTP接口开发) 3、负责HTTP、AJAX等各类网络请求分析，探索和研究高效的数据抓取解决方案 任职资格： 1、本科及以上学历，良好的代码能力，扎实的数据结构和算法功底（重要） 2、有良好逻辑思维能力、学习能力、团队合作精神，对挑战性问题充满激情 3、有go/python/php等语言开发经验，或熟练掌握c/c++者也可 4、有多线程、网络编程(SOCKET编程)、数据库(MySQL、Redis)、网络数据处理经验优先（如HTTP协议，AJAX，爬虫开发，Web服务开发等） 岗位福利： 1、季度团建:公司为每个部门提供丰厚的季度团建活动经费，优秀团队还可额外增加团建活动经费。 2、零食、水果、早餐:公司提供多种多样超值零食、饮料、新鲜水果。 3、节庆礼品:公司为每位员工准备了新年红包、生日及节日礼物。 4、丰富的培训机会:全面的入职培训，教练制度，定期展开精彩主题讲座。 5、公司环境:弹性工作时间，配Mac办公设备，办公环境优雅惬意，360度绝佳视野工位。 6、实习生优享福利:实习期间有实习补贴、商业保险、生日蛋糕券、节庆礼品等。 ,北京云锋,互联网 游戏 软件,"民营企业
",50-150人, 业界牛人 可观的实习补贴 学习成长快 提供转正机会 水果咖啡 互联网金融 技术氛围好 开放创新 热情团队 都是年轻人 ,北京,https://www.shixiseng.com/intern/inn_nzudqowmjxzd?pcm=pc_SearchList
